Hey boy! How've you been?,¡Hola chico! ¿Qué tal?
"Perfect, as always. And you? How are your first days back in your native country?","Perfecto, como siempre. ¿Y tú? ¿Qué tal los primeros días en tu país natal?"
"Like a dream. I saw ""Fatty"" yesterday.",Como un sueño. Vi al gordo ayer.
Mario? And what do you think? Does being married suit him?,¿A Mario? ¿Y qué piensas? ¿Le queda bien el matrimonio?
Of course. He introduced me to his wife. She's very pretty.,Por supuesto. Me presentó a su señora. Es bien bonita.
Really? You don't think we're too old for that?,¿En serio? ¿No crees que estemos muy viejos para eso?
"Yes, but it's fun to play like kids once in a while.","Sí, pero es divertido jugar como niños de vez en cuando."
I'm not old.,No soy un viejo.
"Then, stop talking like a grumpy old man!","Entonces, ¡deja de hablar como uno mañoso!"
"Look, let me tell you a story. When I turned 9 years old, I had a piñata.","Mira, te cuento algo. Cuando cumplí 9 años, tuve una piñata."
"As far as I know, 9-year-old boys don’t cry.","Que yo sepa, los niños de 9 años no lloran."
"Make fun of me if you want, but it's the truth.","Búrlate si quieres, pero es la verdad."
"Now, don't get mad. In the end you found it and destroyed it, that's what matters.","Ya, no te enojes. Al final la encontraste y la destrozaste, que es lo que importa."
I'm not traumatized! I just wanted to do it well.,¡No estoy traumado! Solo quería hacerlo bien.
Do you know? You just gave me an idea.,¿Sabes? Me acabas de dar una idea.
What idea?,¿Qué idea?
When is your birthday?,¿Cuándo es tu cumpleaños?
Why?,¿Por qué?
"Because, I'm thinking of bringing a piñata for your present.",Porque tengo pensado llevarte una piñata de regalo.
She told me - in secret - that she bought a piñata for the party.,Ella me contó –en secreto – que compró una piñata para la fiesta.
Or maybe the old one is you...,O tal vez el viejo eres tú...
" After they blindfolded me, they took me away from the group and spun me around to disorient me.","Luego de que me vendaran, me alejaron de los demás y me dieron vueltas, para desorientarme."
I confused the piñata with a tree and hit the tree while the entire group of kids laughed. I almost cried.,"Confundí la piñata con un árbol, le daba golpes, mientras todos se reían. Casi me ponía a llorar."
"And this time, you're not going to hit a tree.","Y esta vez, no vas a pegarle a un árbol."
Welcome to the first lesson of the first unit of Rocket Spanish Platinum. Today's topic is the 'piñata.',Bienvenidos a Lección 1 de la primera unidad de Rocket Spanish Platinum. El tema de hoy es “La Piñata.”
I love piñatas!,¡Me encantan las piñatas!
I don't.,A mí no.
I have my reasons.,Tengo mis razones.
I'm not scared of clowns!,¡No tengo miedo de los payasos!
"Mauricio is a scared-kitty, Mauricio is a scared-kitty!","Mauricio es un gatito asustado, Mauricio es un gatito asustado!"
I know what is to be Latina! What I don't understand is why things change so much.,¡Yo sé lo que es ser Latina! Lo que no entiendo es por que las cosas cambian tanto.
"Only three years, and single friends are married-","Solo tres años, y los amigos solteros ya son casados—"
Except me.,Menos yo.
"Except you, and all are older-","Menos tú, y todos más viejos—"
"Like Mario, with white hair.","Como Mario, de pelo blanco."
"He doesn’t have white hair. He's only turning 30 years old, less than you.","No tiene el pelo blanco. Solo cumplirá 30 años de edad, menos que tú."
I'm not very convinced. I didn't know that you knew piñatas.,No estoy muy convencido. No sabía que tú conocieras las piñatas.
Why do they sell piñatas in grocery stores?,¿Por qué venden piñatas en los almacenes?
Did you guys know that piñatas are originally from China? The other side of the world!,¿Saben ustedes que las piñatas son originalmente de China? ¡El otro lado del mundo!
"Historically, they didn't have anything to do with children's celebrations.","Históricamente, no tenían nada que ver con las celebraciones de niños."
"Maybe, but Latin people, we gave them a fun use!","Quizás, ¡pero los latinos les dimos un uso entretenido!"
Do our students know what a piñata is?,¿Sabrán nuestros alumnos lo que es una piñata?
"It is a hollow sculpture, made of paper mâché and full of candy.","Es una escultura hueca, hecha de papel maché y rellena de dulces."
Repeat. Blindfolded/bandaged.,Repite. Vendado.
The birthday boy is blindfolded.,El cumpleañero está vendado.
"Among Latin friends, it is not an offense to call someone by a physical characteristic.","Entre amigos latinos, no es una ofensa llamar a alguien por una característica física."
"There is always someone nicknamed 'Baldy,' 'Fatty,' or 'Black.'","Siempre hay alguien a quien le dicen ‘Pelado,’ ‘Gordo’ o ‘Negro.’"
It doesn't mean a race but rather a physical characteristic. And it's only among friends.,No significa una raza sino una característica física. Y es solo entre los amigos.
"It also applies to women, as long as its not a defect.","También se aplica a las mujeres, siempre y cuando no sea un defecto."
"You can be nicknamed ""shorty"" if you are short, or 'skinny' if you are slim.","Te pueden decir chica si eres baja, o flaca si eres delgada."
"Still, never think about calling a girl 'fatty!'","Eso sí, ¡jamás se te ocurra decirle gorda a una mujer!"
I am still alive.,Yo todavía estoy vivo.
What do you think of Mario after such a long time?,¿Qué piensas de Mario después de tanto tiempo?
What does Alejandra think of Mario?,¿Qué piensa Alejandra de Mario?
Does it suit Mario to be married?,"¿A Mario, le queda bien estar casado?"
Does it suit him to almost be old?,¿Le queda bien ser casi viejo?
I said almost old.,Dije casi viejo.
"Be quiet, kids. We shouldn't waste any more time discussing.","Cállense, niños. No debemos perder más tiempo discutiendo."
"It means…a person who is difficult, who is in a bad mood. Old men are usually 'mañosos'.","Significa … una persona que es difícil, que está de mal humor. Los hombres viejos muchas veces son mañosos."
"But it also means a person who is good with their hands, who has the ability to do something.","Pero también significa una persona que es buena con las manos, que tiene habilidad por algo."
"Both. It depends on the context. Mauricio is not good with his hands, you'll see.","Ambos. Depende del contexto. Mauricio no es bueno con las manos, vas a ver."
Because it's only for some kids' birthdays.,Porque solo son para algunos cumpleaños infantiles.
"While lately, they're calling a 'piñata' a cardboard box shaped like Spider-man.","Aunque últimamente, llaman ‘piñata’ a una caja de cartón con el hombre araña impreso."
"A true piñata is made by hand, and has to be for an important event, because they are expensive.","La verdadera piñata es hecha a mano, y tiene que estar para un evento importante, porque son caras."
"Normally, they are animals, suns, and stars.","Normalmente son animales, soles o estrellas."
Sometimes they are geometric shapes decorated with cones on the sides.,A veces son figuras geométricas decoradas con conos a los lados.
They are always covered in colored paper. And are rather eye-catching.,Siempre están cubiertas con papeles de colores. Son bastante vistosas.
"But what I don't understand, is why a man of almost thirty would want a piñata.","Pero lo que yo no entiendo, es porque un hombre de casi treinta años de edad querría una piñata."
"It's not a secret anymore, because everyone knows now.","Ya no es un secreto, porque todos sabemos ahora."
"But Mario doesn't know, and you shouldn't tell him anything. Nothing! Understand?","Pero Mario no lo sabe, y tú no debes decirle nada. ¡Nada! ¿Entiendes?"
"To me the same thing happened, but I wasn't traumatized.","A mi me pasó lo mismo, pero no estoy traumada."
I am not traumatized! I just wanted to do well.,¡No estoy traumado! Solo quería hacerlo bien.
"It's not sad, it's funny.","No es triste, es chistoso."
Make fun if you want.,Búrlate si quieres.
"Yes. Later they blindfolded Mauricio, took him away and spun him around, to disorient him.","Sí. Luego de que vendaran a Mauricio, lo alejaron de los demás y le dieron vueltas, para desorientarlo."
Mauricio confused the piñata for a tree! How awful!,¡Mauricio confundió la piñata con un árbol! ¡Qué bruto!
It hurt my arms.,Me dolían los brazos.
"And all the kids shouting ""Harder! Harder!""","Y todos los niños gritando, “¡Más fuerte! ¡Más fuerte!”"
"Stop laughing, girls. It's not funny.","Déjense de reír, chicas. No es chistoso."
As far as I know. Latinos know how to laugh instead of getting mad.,"Que yo sepa, los latinos saben reír en vez de enojarse."
You guys make fun of me.,Ustedes se burlan de mí.
"Still, don't get mad at us.","Ya, no te enojes."
"But the end of the pinata is not to destroy it, but to get the most candy that you can when it falls. In this, yes, I won.","Pero el fin de la piñata no es destruirla, es conseguir la mayor cantidad de dulces que se pueda cuando caen. Y en eso, sí, gané."
I won't forget it.,No lo olvidaré.
"In my house, we have a saying: ""The sequels never turn out right."" Something tells me this is not going to end well…","En mi casa, tenemos un dicho: “Las segundas partes nunca han sido buenas.” Algo me dice que esto no va a salir bien…"
Of course not.,Claro que no.
The moment which we dedicate to torturing our students.,El momento en que nos dedicamos a torturar a nuestros alumnos.
What do you think of my idea?,¿Qué piensas de mi idea?
Does long hair suit me?,¿Me queda bien el pelo largo?
You're making fun of me,Te estás burlando de mí
"As far as I know, the world is round.","Que yo sepa, el mundo es redondo."
We hope that you haven't found it very difficult.,Esperamos que no la hayan encontrado muy difícil.
enough to understand the majority of the conversation without explanation.,suficiente para entender la mayoría de la conversación sin explicación.
"And in the next lesson, we are going to enjoy ourselves during Mario's birthday party.","Y en la próxima lección, vamos a divertirnos durante la fiesta de cumpleaños de Mario."
Bye!,¡Adios!
